訂單編號,日期,顧客代號,品項,數量,單價,小計,通路
O00762,2025-08-19,C070,古早味紅茶,1,25,25,外帶
O00072,2025-08-21,C011,古早味紅茶,1,25,25,內用
O00072,2025-08-21,C011,炭烤香腸,2,40,80,外送平台
O00884,2025-08-21,C080,古早味紅茶,1,25,25,內用
O00884,2025-08-21,C080,燙青菜,1,45,45,外送平台
O01389,2025-08-21,C122,炭烤香腸,2,40,80,內用
O01389,2025-08-21,C122,古早味紅茶,2,25,50,內用
O00077,2025-08-23,C011,炭烤香腸,1,40,40,外帶
O00077,2025-08-23,C011,古早味紅茶,1,25,25,內用
O00718,2025-08-23,C067,滷味拼盤,2,90,180,外帶
O00718,2025-08-23,C067,炭烤香腸,1,40,40,外送平台
O00733,2025-08-23,C067,古早味紅茶,1,25,25,內用
O00733,2025-08-23,C067,滷味拼盤,1,90,90,內用
O00733,2025-08-23,C067,炭烤香腸,1,40,40,外帶
O00775,2025-08-24,C070,燙青菜,1,45,45,外帶
O00020,2025-08-25,C005,古早味紅茶,1,25,25,外帶
O00730,2025-08-25,C067,滷味拼盤,2,90,180,內用
O00730,2025-08-25,C067,古早味紅茶,1,25,25,外帶
O00730,2025-08-25,C067,燙青菜,1,45,45,外送平台
O00798,2025-08-25,C072,蚵仔麵線,2,65,130,外送平台
O00798,2025-08-25,C072,蚵仔麵線,1,65,65,外送平台
O01157,2025-08-25,C109,燙青菜,1,45,45,內用
O01157,2025-08-25,C109,麻油麵線,1,85,85,外帶
O01201,2025-08-25,C111,古早味紅茶,1,25,25,外帶
O01201,2025-08-25,C111,麻油麵線,2,85,170,外帶
O01266,2025-08-25,C114,滷味拼盤,1,90,90,外帶
O01266,2025-08-25,C114,麻油麵線,1,85,85,外帶
O01266,2025-08-25,C114,炭烤香腸,1,40,40,外送平台
O01256,2025-08-26,C114,炭烤香腸,1,40,40,內用
O01256,2025-08-26,C114,古早味紅茶,1,25,25,外送平台
O01256,2025-08-26,C114,燙青菜,2,45,90,外帶
O00828,2025-08-28,C075,燙青菜,2,45,90,外帶
O00828,2025-08-28,C075,古早味紅茶,2,25,50,外帶
O00828,2025-08-28,C075,滷味拼盤,1,90,90,外帶
O01257,2025-08-28,C114,蚵仔麵線,1,65,65,外帶
O01257,2025-08-28,C114,蚵仔麵線,1,65,65,外帶
O01257,2025-08-28,C114,炭烤香腸,1,40,40,外帶
O00805,2025-08-30,C072,蚵仔麵線,1,65,65,外帶
O00805,2025-08-30,C072,炭烤香腸,1,40,40,內用
O01215,2025-08-30,C111,滷味拼盤,1,90,90,外送平台
O01215,2025-08-30,C111,滷味拼盤,1,90,90,外送平台
O00491,2025-09-01,C050,蚵仔麵線,1,65,65,內用
O00491,2025-09-01,C050,蚵仔麵線,1,65,65,內用
O00491,2025-09-01,C050,滷味拼盤,1,90,90,內用
O00911,2025-09-01,C082,古早味紅茶,1,25,25,內用
O00911,2025-09-01,C082,古早味紅茶,1,25,25,內用
O00887,2025-09-02,C080,滷味拼盤,1,90,90,外帶
O00887,2025-09-02,C080,麻油麵線,1,85,85,外帶
O00782,2025-09-05,C072,燙青菜,1,45,45,外帶
O00759,2025-09-06,C070,燙青菜,1,45,45,內用
O00875,2025-09-06,C080,炭烤香腸,2,40,80,外帶
O00862,2025-09-07,C079,麻油麵線,1,85,85,外送平台
O00862,2025-09-07,C079,炭烤香腸,1,40,40,外送平台
O00862,2025-09-07,C079,蚵仔麵線,1,65,65,內用
O01203,2025-09-07,C111,燙青菜,1,45,45,外帶
O01203,2025-09-07,C111,燙青菜,2,45,90,內用
O00500,2025-09-09,C050,麻油麵線,1,85,85,內用
O00909,2025-09-09,C082,滷味拼盤,1,90,90,外帶
O01178,2025-09-09,C109,燙青菜,2,45,90,外帶
O01178,2025-09-09,C109,炭烤香腸,1,40,40,外帶
O01178,2025-09-09,C109,炭烤香腸,1,40,40,外帶
O00873,2025-09-10,C080,古早味紅茶,1,25,25,外帶
O00873,2025-09-10,C080,古早味紅茶,1,25,25,外帶
O00873,2025-09-10,C080,滷味拼盤,1,90,90,內用
O01272,2025-09-12,C114,炭烤香腸,1,40,40,外帶
O01272,2025-09-12,C114,古早味紅茶,1,25,25,內用
O00787,2025-09-14,C072,古早味紅茶,1,25,25,外帶
O00014,2025-09-16,C005,古早味紅茶,1,25,25,內用
O00937,2025-09-17,C083,炭烤香腸,1,40,40,內用
O00937,2025-09-17,C083,古早味紅茶,1,25,25,內用
O01204,2025-09-17,C111,炭烤香腸,1,40,40,內用
O01204,2025-09-17,C111,炭烤香腸,1,40,40,外帶
O00015,2025-09-19,C005,滷味拼盤,1,90,90,內用
O00015,2025-09-19,C005,滷味拼盤,1,90,90,內用
O00015,2025-09-19,C005,滷味拼盤,1,90,90,外帶
O00726,2025-09-19,C067,燙青菜,1,45,45,外帶
O00726,2025-09-19,C067,麻油麵線,2,85,170,外帶
O00726,2025-09-19,C067,燙青菜,1,45,45,內用
O01263,2025-09-21,C114,蚵仔麵線,2,65,130,外帶
O01263,2025-09-21,C114,麻油麵線,1,85,85,外送平台
O01263,2025-09-21,C114,炭烤香腸,1,40,40,外送平台
O00819,2025-09-22,C075,滷味拼盤,1,90,90,外帶
O00819,2025-09-22,C075,炭烤香腸,1,40,40,外帶
O00939,2025-09-22,C083,炭烤香腸,1,40,40,外送平台
O01040,2025-09-22,C091,燙青菜,2,45,90,外帶
O00356,2025-09-23,C034,古早味紅茶,1,25,25,內用
O00356,2025-09-23,C034,滷味拼盤,1,90,90,外帶
O00356,2025-09-23,C034,蚵仔麵線,1,65,65,外帶
O01159,2025-09-25,C109,古早味紅茶,1,25,25,外帶
O01159,2025-09-25,C109,麻油麵線,2,85,170,外帶
O01159,2025-09-25,C109,麻油麵線,1,85,85,內用
O01168,2025-09-25,C109,蚵仔麵線,1,65,65,外帶
O00362,2025-09-27,C034,燙青菜,1,45,45,外帶
O00362,2025-09-27,C034,麻油麵線,1,85,85,內用
O00362,2025-09-27,C034,滷味拼盤,1,90,90,內用
O00512,2025-09-27,C050,古早味紅茶,1,25,25,內用
O00512,2025-09-27,C050,麻油麵線,2,85,170,外送平台
O00512,2025-09-27,C050,麻油麵線,2,85,170,外送平台
O01156,2025-09-27,C109,滷味拼盤,1,90,90,外帶
O01161,2025-09-27,C109,蚵仔麵線,1,65,65,外送平台
O01162,2025-09-27,C109,燙青菜,2,45,90,外帶
O01162,2025-09-27,C109,古早味紅茶,2,25,50,外帶
O01162,2025-09-27,C109,麻油麵線,1,85,85,內用
O01214,2025-09-27,C111,古早味紅茶,1,25,25,外送平台
O01214,2025-09-27,C111,蚵仔麵線,1,65,65,內用
O00721,2025-09-28,C067,蚵仔麵線,1,65,65,內用
O00721,2025-09-28,C067,燙青菜,1,45,45,外送平台
O01277,2025-09-28,C114,炭烤香腸,1,40,40,外帶
O00758,2025-09-29,C070,麻油麵線,1,85,85,外帶
O01035,2025-09-29,C091,滷味拼盤,1,90,90,外帶
O01267,2025-09-29,C114,麻油麵線,1,85,85,外送平台
O01267,2025-09-29,C114,炭烤香腸,1,40,40,內用
O00831,2025-09-30,C075,蚵仔麵線,1,65,65,外帶
O01332,2025-09-30,C117,古早味紅茶,1,25,25,外帶
O00934,2025-10-01,C083,古早味紅茶,1,25,25,內用
O00934,2025-10-01,C083,麻油麵線,1,85,85,外送平台
O00189,2025-10-02,C023,古早味紅茶,1,25,25,外帶
O00358,2025-10-02,C034,蚵仔麵線,2,65,130,外帶
O00358,2025-10-02,C034,麻油麵線,2,85,170,外帶
O00358,2025-10-02,C034,滷味拼盤,1,90,90,外帶
O01164,2025-10-02,C109,古早味紅茶,1,25,25,外帶
O01519,2025-10-02,C132,麻油麵線,1,85,85,外帶
O01519,2025-10-02,C132,蚵仔麵線,1,65,65,內用
O01519,2025-10-02,C132,麻油麵線,1,85,85,外帶
O01585,2025-10-04,C137,蚵仔麵線,1,65,65,外帶
O01585,2025-10-04,C137,蚵仔麵線,2,65,130,外送平台
O00871,2025-10-05,C080,蚵仔麵線,2,65,130,外送平台
O00871,2025-10-05,C080,燙青菜,1,45,45,內用
O01344,2025-10-05,C117,燙青菜,1,45,45,內用
O01344,2025-10-05,C117,燙青菜,1,45,45,外帶
O01344,2025-10-05,C117,麻油麵線,1,85,85,外送平台
O01590,2025-10-05,C137,古早味紅茶,2,25,50,外送平台
O01590,2025-10-05,C137,燙青菜,1,45,45,內用
O00913,2025-10-06,C083,古早味紅茶,1,25,25,外帶
O00913,2025-10-06,C083,蚵仔麵線,1,65,65,內用
O01198,2025-10-06,C111,滷味拼盤,2,90,180,外帶
O01198,2025-10-06,C111,燙青菜,1,45,45,外帶
O01198,2025-10-06,C111,古早味紅茶,1,25,25,外帶
O00026,2025-10-07,C005,燙青菜,2,45,90,外帶
O00403,2025-10-07,C042,燙青菜,2,45,90,內用
O00918,2025-10-07,C083,古早味紅茶,2,25,50,外送平台
O01276,2025-10-07,C114,滷味拼盤,1,90,90,外送平台
O01276,2025-10-07,C114,炭烤香腸,1,40,40,內用
O01276,2025-10-07,C114,古早味紅茶,2,25,50,外送平台
O01341,2025-10-07,C117,滷味拼盤,1,90,90,外帶
O01341,2025-10-07,C117,滷味拼盤,1,90,90,外送平台
O00867,2025-10-08,C080,麻油麵線,1,85,85,外帶
O01212,2025-10-08,C111,燙青菜,1,45,45,外帶
O01584,2025-10-08,C137,燙青菜,2,45,90,外送平台
O01271,2025-10-09,C114,滷味拼盤,1,90,90,外送平台
O01271,2025-10-09,C114,麻油麵線,1,85,85,外帶
O01339,2025-10-10,C117,燙青菜,1,45,45,外帶
O01339,2025-10-10,C117,麻油麵線,1,85,85,內用
O01599,2025-10-10,C140,燙青菜,1,45,45,內用
O00040,2025-10-11,C007,古早味紅茶,1,25,25,外帶
O00892,2025-10-11,C080,燙青菜,2,45,90,內用
O01347,2025-10-11,C117,炭烤香腸,1,40,40,外送平台
O01347,2025-10-11,C117,蚵仔麵線,2,65,130,外送平台
O00038,2025-10-12,C007,蚵仔麵線,1,65,65,外送平台
O01038,2025-10-12,C091,蚵仔麵線,1,65,65,外帶
O01038,2025-10-12,C091,古早味紅茶,1,25,25,外送平台
O01038,2025-10-12,C091,滷味拼盤,1,90,90,外帶
O00502,2025-10-14,C050,麻油麵線,1,85,85,外送平台
O00502,2025-10-14,C050,古早味紅茶,1,25,25,內用
O00795,2025-10-14,C072,蚵仔麵線,1,65,65,內用
O00795,2025-10-14,C072,蚵仔麵線,1,65,65,內用
O01571,2025-10-14,C137,炭烤香腸,2,40,80,外帶
O01589,2025-10-14,C137,蚵仔麵線,1,65,65,外送平台
O01589,2025-10-14,C137,炭烤香腸,1,40,40,內用
O01259,2025-10-15,C114,古早味紅茶,1,25,25,外帶
O01259,2025-10-15,C114,炭烤香腸,1,40,40,外帶
O00445,2025-10-16,C047,滷味拼盤,1,90,90,外送平台
O00462,2025-10-16,C047,滷味拼盤,2,90,180,外送平台
O01252,2025-10-16,C113,蚵仔麵線,2,65,130,內用
O01252,2025-10-16,C113,蚵仔麵線,1,65,65,外帶
O00017,2025-10-17,C005,蚵仔麵線,1,65,65,內用
O00017,2025-10-17,C005,麻油麵線,2,85,170,內用
O00451,2025-10-17,C047,麻油麵線,1,85,85,內用
O00451,2025-10-17,C047,古早味紅茶,1,25,25,外送平台
O00471,2025-10-17,C049,滷味拼盤,1,90,90,外帶
O00471,2025-10-17,C049,炭烤香腸,1,40,40,內用
O00471,2025-10-17,C049,滷味拼盤,1,90,90,內用
O00723,2025-10-17,C067,燙青菜,1,45,45,外帶
O00723,2025-10-17,C067,古早味紅茶,1,25,25,外帶
O00723,2025-10-17,C067,滷味拼盤,2,90,180,外帶
O00820,2025-10-17,C075,蚵仔麵線,2,65,130,外帶
O00820,2025-10-17,C075,麻油麵線,1,85,85,內用
O00820,2025-10-17,C075,燙青菜,1,45,45,內用
O00016,2025-10-18,C005,滷味拼盤,1,90,90,外帶
O00016,2025-10-18,C005,蚵仔麵線,1,65,65,外送平台
O00458,2025-10-18,C047,炭烤香腸,1,40,40,內用
O00479,2025-10-18,C049,滷味拼盤,1,90,90,外帶
O01243,2025-10-18,C113,麻油麵線,1,85,85,內用
O01243,2025-10-18,C113,滷味拼盤,1,90,90,外送平台
O01265,2025-10-18,C114,燙青菜,1,45,45,外帶
O00039,2025-10-19,C007,滷味拼盤,1,90,90,外帶
O00039,2025-10-19,C007,炭烤香腸,1,40,40,內用
O00509,2025-10-19,C050,蚵仔麵線,1,65,65,外送平台
O00509,2025-10-19,C050,滷味拼盤,1,90,90,外帶
O00509,2025-10-19,C050,蚵仔麵線,1,65,65,內用
O00797,2025-10-19,C072,滷味拼盤,2,90,180,外帶
O00797,2025-10-19,C072,古早味紅茶,1,25,25,內用
O00797,2025-10-19,C072,古早味紅茶,1,25,25,外帶
O01239,2025-10-19,C113,麻油麵線,2,85,170,內用
O01239,2025-10-19,C113,燙青菜,1,45,45,外帶
O01334,2025-10-19,C117,燙青菜,1,45,45,外帶
O01574,2025-10-19,C137,麻油麵線,1,85,85,內用
O01600,2025-10-19,C140,古早味紅茶,2,25,50,外帶
O01600,2025-10-19,C140,滷味拼盤,1,90,90,外帶
O01600,2025-10-19,C140,滷味拼盤,1,90,90,外送平台
O00446,2025-10-20,C047,燙青菜,1,45,45,外送平台
O00446,2025-10-20,C047,蚵仔麵線,1,65,65,內用
O00034,2025-10-21,C007,炭烤香腸,1,40,40,外帶
O00443,2025-10-21,C047,麻油麵線,2,85,170,外送平台
O00456,2025-10-21,C047,燙青菜,1,45,45,外帶
O00770,2025-10-21,C070,燙青菜,2,45,90,外帶
O00770,2025-10-21,C070,古早味紅茶,1,25,25,內用
O01582,2025-10-21,C137,蚵仔麵線,1,65,65,外帶
O01582,2025-10-21,C137,麻油麵線,2,85,170,內用
O00496,2025-10-23,C050,麻油麵線,1,85,85,外送平台
O00496,2025-10-23,C050,滷味拼盤,1,90,90,外帶
O00496,2025-10-23,C050,古早味紅茶,2,25,50,內用
O00361,2025-10-24,C034,蚵仔麵線,1,65,65,外送平台
O00361,2025-10-24,C034,燙青菜,2,45,90,外送平台
O00454,2025-10-24,C047,滷味拼盤,1,90,90,內用
O00454,2025-10-24,C047,燙青菜,1,45,45,外帶
O00457,2025-10-25,C047,古早味紅茶,2,25,50,內用
O00457,2025-10-25,C047,麻油麵線,1,85,85,外帶
O01578,2025-10-25,C137,蚵仔麵線,1,65,65,內用
O01578,2025-10-25,C137,麻油麵線,2,85,170,內用
O00716,2025-10-26,C067,炭烤香腸,1,40,40,外帶
O00716,2025-10-26,C067,麻油麵線,1,85,85,內用
O01605,2025-10-27,C140,古早味紅茶,1,25,25,外帶
O01605,2025-10-27,C140,麻油麵線,1,85,85,外帶
O00833,2025-10-28,C075,炭烤香腸,1,40,40,外帶
O01165,2025-10-29,C109,炭烤香腸,1,40,40,外帶
O01165,2025-10-29,C109,燙青菜,1,45,45,外帶
O01165,2025-10-29,C109,滷味拼盤,2,90,180,外送平台
O00477,2025-10-30,C049,炭烤香腸,2,40,80,外帶
O00928,2025-10-30,C083,燙青菜,1,45,45,外送平台
O01577,2025-10-30,C137,滷味拼盤,1,90,90,外送平台
O01577,2025-10-30,C137,蚵仔麵線,2,65,130,外帶
O00045,2025-10-31,C007,炭烤香腸,1,40,40,外帶
O00045,2025-10-31,C007,蚵仔麵線,1,65,65,外送平台
O00043,2025-11-01,C007,炭烤香腸,1,40,40,外帶
O00043,2025-11-01,C007,麻油麵線,2,85,170,外帶
O00461,2025-11-01,C047,古早味紅茶,1,25,25,內用
O00461,2025-11-01,C047,滷味拼盤,1,90,90,外帶
O00461,2025-11-01,C047,炭烤香腸,1,40,40,外帶
O00475,2025-11-01,C049,燙青菜,1,45,45,外帶
O01195,2025-11-01,C111,滷味拼盤,1,90,90,外帶
O01195,2025-11-01,C111,炭烤香腸,1,40,40,外帶
O01336,2025-11-01,C117,炭烤香腸,2,40,80,外帶
O01336,2025-11-01,C117,古早味紅茶,2,25,50,內用
O00044,2025-11-02,C007,燙青菜,1,45,45,外帶
O00044,2025-11-02,C007,炭烤香腸,2,40,80,外送平台
O00044,2025-11-02,C007,炭烤香腸,1,40,40,外送平台
O00047,2025-11-02,C007,炭烤香腸,2,40,80,外送平台
O00047,2025-11-02,C007,麻油麵線,1,85,85,外送平台
O00401,2025-11-02,C041,古早味紅茶,1,25,25,內用
O00401,2025-11-02,C041,炭烤香腸,1,40,40,外送平台
O01202,2025-11-02,C111,燙青菜,1,45,45,內用
O01202,2025-11-02,C111,蚵仔麵線,1,65,65,外送平台
O01202,2025-11-02,C111,蚵仔麵線,2,65,130,外帶
O00804,2025-11-03,C072,麻油麵線,2,85,170,外送平台
O00031,2025-11-04,C007,古早味紅茶,2,25,50,內用
O01045,2025-11-04,C091,滷味拼盤,1,90,90,外帶
O01045,2025-11-04,C091,滷味拼盤,1,90,90,內用
O01045,2025-11-04,C091,炭烤香腸,1,40,40,內用
O00351,2025-11-05,C034,炭烤香腸,2,40,80,外帶
O00351,2025-11-05,C034,麻油麵線,2,85,170,內用
O00351,2025-11-05,C034,古早味紅茶,1,25,25,外送平台
O00448,2025-11-05,C047,燙青菜,1,45,45,外送平台
O00448,2025-11-05,C047,麻油麵線,1,85,85,外帶
O00905,2025-11-05,C081,古早味紅茶,1,25,25,外帶
O00905,2025-11-05,C081,麻油麵線,1,85,85,外帶
O00008,2025-11-06,C002,麻油麵線,2,85,170,外帶
O00008,2025-11-06,C002,麻油麵線,1,85,85,外帶
O00444,2025-11-06,C047,麻油麵線,1,85,85,內用
O01595,2025-11-06,C140,古早味紅茶,1,25,25,外帶
O00449,2025-11-07,C047,麻油麵線,1,85,85,外送平台
O00449,2025-11-07,C047,燙青菜,1,45,45,外送平台
O00464,2025-11-07,C047,古早味紅茶,2,25,50,外帶
O00447,2025-11-08,C047,滷味拼盤,2,90,180,外帶
O00447,2025-11-08,C047,燙青菜,1,45,45,內用
O00470,2025-11-08,C049,燙青菜,2,45,90,外送平台
O00473,2025-11-08,C049,滷味拼盤,1,90,90,外帶
O00473,2025-11-08,C049,古早味紅茶,1,25,25,外送平台
O00947,2025-11-08,C083,滷味拼盤,2,90,180,外帶
O01533,2025-11-08,C135,炭烤香腸,1,40,40,內用
O00705,2025-11-09,C066,燙青菜,1,45,45,外送平台
O00705,2025-11-09,C066,滷味拼盤,1,90,90,內用
O00943,2025-11-09,C083,燙青菜,1,45,45,外帶
O00943,2025-11-09,C083,麻油麵線,2,85,170,內用
O00943,2025-11-09,C083,燙青菜,1,45,45,內用
O00006,2025-11-10,C002,滷味拼盤,1,90,90,外帶
O00453,2025-11-10,C047,炭烤香腸,1,40,40,外帶
O01234,2025-11-10,C113,古早味紅茶,1,25,25,外帶
O01234,2025-11-10,C113,麻油麵線,1,85,85,內用
O01342,2025-11-10,C117,炭烤香腸,1,40,40,內用
O01342,2025-11-10,C117,蚵仔麵線,1,65,65,外送平台
O01521,2025-11-10,C133,麻油麵線,2,85,170,內用
O00423,2025-11-11,C046,滷味拼盤,1,90,90,外送平台
O00455,2025-11-11,C047,古早味紅茶,1,25,25,內用
O00465,2025-11-11,C047,麻油麵線,1,85,85,外帶
O00465,2025-11-11,C047,炭烤香腸,1,40,40,內用
O00703,2025-11-11,C066,滷味拼盤,1,90,90,外送平台
O00901,2025-11-11,C080,炭烤香腸,1,40,40,內用
O00901,2025-11-11,C080,燙青菜,1,45,45,外帶
O00901,2025-11-11,C080,炭烤香腸,1,40,40,外送平台
O01346,2025-11-11,C117,炭烤香腸,1,40,40,內用
O01346,2025-11-11,C117,古早味紅茶,2,25,50,外帶
O01346,2025-11-11,C117,燙青菜,2,45,90,外帶
O00076,2025-11-12,C011,滷味拼盤,1,90,90,外送平台
O00460,2025-11-12,C047,麻油麵線,2,85,170,內用
O00476,2025-11-12,C049,燙青菜,1,45,45,外送平台
O00476,2025-11-12,C049,古早味紅茶,1,25,25,外帶
O01042,2025-11-12,C091,滷味拼盤,1,90,90,外送平台
O00426,2025-11-13,C046,蚵仔麵線,1,65,65,外帶
O00426,2025-11-13,C046,麻油麵線,2,85,170,內用
O00459,2025-11-13,C047,古早味紅茶,1,25,25,外帶
O00459,2025-11-13,C047,麻油麵線,1,85,85,外送平台
O00466,2025-11-13,C047,麻油麵線,1,85,85,內用
O00466,2025-11-13,C047,滷味拼盤,1,90,90,外帶
O00494,2025-11-13,C050,炭烤香腸,2,40,80,外送平台
O00494,2025-11-13,C050,炭烤香腸,1,40,40,外帶
O00779,2025-11-13,C070,滷味拼盤,1,90,90,外帶
O00779,2025-11-13,C070,燙青菜,2,45,90,外帶
O00779,2025-11-13,C070,滷味拼盤,2,90,180,外帶
O00907,2025-11-13,C082,麻油麵線,1,85,85,外帶
O00907,2025-11-13,C082,燙青菜,1,45,45,外帶
O00907,2025-11-13,C082,蚵仔麵線,1,65,65,外送平台
O00908,2025-11-13,C082,古早味紅茶,2,25,50,內用
O00908,2025-11-13,C082,燙青菜,2,45,90,內用
O00908,2025-11-13,C082,燙青菜,1,45,45,外帶
O01244,2025-11-13,C113,麻油麵線,1,85,85,外帶
O01244,2025-11-13,C113,燙青菜,1,45,45,外帶
O01244,2025-11-13,C113,古早味紅茶,1,25,25,外帶
O01345,2025-11-13,C117,炭烤香腸,1,40,40,外帶
O00427,2025-11-14,C046,燙青菜,2,45,90,外送平台
O00450,2025-11-14,C047,滷味拼盤,1,90,90,內用
O00450,2025-11-14,C047,炭烤香腸,1,40,40,外送平台
O00463,2025-11-14,C047,麻油麵線,2,85,170,內用
O00737,2025-11-14,C067,滷味拼盤,1,90,90,外帶
O00737,2025-11-14,C067,麻油麵線,1,85,85,外帶
O00906,2025-11-14,C082,燙青菜,1,45,45,內用
O00906,2025-11-14,C082,滷味拼盤,1,90,90,外帶
O00452,2025-11-15,C047,麻油麵線,1,85,85,內用
O00452,2025-11-15,C047,燙青菜,1,45,45,外送平台
O00452,2025-11-15,C047,滷味拼盤,1,90,90,外帶
O00712,2025-11-15,C066,燙青菜,2,45,90,外送平台
O00712,2025-11-15,C066,燙青菜,1,45,45,內用
O00712,2025-11-15,C066,燙青菜,1,45,45,內用
O01200,2025-11-15,C111,麻油麵線,1,85,85,外帶
O01200,2025-11-15,C111,燙青菜,1,45,45,內用
O00877,2025-11-16,C080,古早味紅茶,1,25,25,內用
O00877,2025-11-16,C080,古早味紅茶,2,25,50,內用
O01393,2025-11-16,C122,古早味紅茶,1,25,25,外帶
O01393,2025-11-16,C122,炭烤香腸,2,40,80,外帶
O00940,2025-11-17,C083,滷味拼盤,1,90,90,外帶
O00940,2025-11-17,C083,炭烤香腸,1,40,40,外送平台
O00940,2025-11-17,C083,炭烤香腸,1,40,40,外帶
O01179,2025-11-17,C109,麻油麵線,1,85,85,外送平台
O01179,2025-11-17,C109,麻油麵線,1,85,85,內用
O01179,2025-11-17,C109,滷味拼盤,1,90,90,外帶
O01292,2025-11-17,C114,蚵仔麵線,1,65,65,外帶
O01292,2025-11-17,C114,麻油麵線,2,85,170,內用
O01522,2025-11-17,C133,滷味拼盤,1,90,90,內用
O01573,2025-11-17,C137,炭烤香腸,1,40,40,內用
O00037,2025-11-18,C007,滷味拼盤,1,90,90,外送平台
O00474,2025-11-18,C049,炭烤香腸,1,40,40,外帶
O00474,2025-11-18,C049,燙青菜,1,45,45,外帶
O00474,2025-11-18,C049,燙青菜,1,45,45,外帶
O00898,2025-11-18,C080,滷味拼盤,1,90,90,外帶
O00898,2025-11-18,C080,燙青菜,1,45,45,內用
O00898,2025-11-18,C080,滷味拼盤,2,90,180,外送平台
O01209,2025-11-18,C111,麻油麵線,1,85,85,外帶
O01246,2025-11-18,C113,燙青菜,1,45,45,外帶
O01246,2025-11-18,C113,燙青菜,1,45,45,內用
O00437,2025-11-19,C046,滷味拼盤,1,90,90,外帶
O00437,2025-11-19,C046,蚵仔麵線,1,65,65,內用
O00439,2025-11-19,C046,麻油麵線,1,85,85,外帶
O00498,2025-11-19,C050,炭烤香腸,2,40,80,外帶
O00732,2025-11-19,C067,炭烤香腸,1,40,40,外帶
O00732,2025-11-19,C067,滷味拼盤,1,90,90,外送平台
O00732,2025-11-19,C067,古早味紅茶,2,25,50,外帶
O00424,2025-11-20,C046,燙青菜,1,45,45,外送平台
O00424,2025-11-20,C046,燙青菜,2,45,90,外帶
O00424,2025-11-20,C046,麻油麵線,1,85,85,外送平台
O00431,2025-11-20,C046,蚵仔麵線,1,65,65,外帶
O00431,2025-11-20,C046,麻油麵線,1,85,85,外送平台
O00003,2025-11-21,C002,麻油麵線,1,85,85,外帶
O00481,2025-11-21,C049,滷味拼盤,1,90,90,外帶
O01176,2025-11-21,C109,燙青菜,1,45,45,外帶
O01176,2025-11-21,C109,蚵仔麵線,1,65,65,內用
O01176,2025-11-21,C109,蚵仔麵線,1,65,65,外送平台
O01337,2025-11-21,C117,蚵仔麵線,1,65,65,外送平台
O01337,2025-11-21,C117,炭烤香腸,1,40,40,外帶
O00007,2025-11-22,C002,滷味拼盤,2,90,180,內用
O00441,2025-11-25,C046,古早味紅茶,1,25,25,外帶
O00030,2025-11-26,C007,麻油麵線,1,85,85,外帶
O00433,2025-11-26,C046,古早味紅茶,2,25,50,內用
