顧客代號,加好友日期,最後消費日,距今天數,累計消費次數,平均客單價,累計消費金額,常來時段,來源,備註標籤
C035,2026-07-07,2026-07-07,54,25,130,3250,午餐 11-13,朋友介紹,在地長輩
C036,2026-07-14,2026-08-10,20,1,85,85,早餐 07-09,店內 QR,上班族
C037,2025-09-09,2026-07-17,44,2,120,240,下午 14-16,朋友介紹,在地長輩
C038,2026-01-16,2026-07-18,43,2,130,260,下午 14-16,朋友介紹,學生
C039,2025-08-26,2026-08-10,20,1,120,120,午餐 11-13,店內 QR,外送
C040,2025-07-20,2026-08-13,17,2,150,300,午餐 11-13,外送杯貼紙,上班族
C041,2025-08-22,2026-08-04,26,3,110,330,午餐 11-13,朋友介紹,上班族
C042,2025-07-25,2026-08-22,8,1,150,150,午餐 11-13,店內 QR,學生
C043,2026-08-11,2026-08-15,15,1,105,105,早餐 07-09,店內 QR,外送
C044,2026-04-05,2026-04-05,147,17,120,2040,下午 14-16,外送杯貼紙,學生
C045,2026-02-15,2026-08-23,7,1,120,120,下午 14-16,店內 QR,學生
C046,2025-11-09,2026-01-09,233,20,110,2200,午餐 11-13,外送杯貼紙,學生
C047,2025-10-16,2025-11-17,286,24,130,3120,午餐 11-13,店內 QR,上班族
C048,2026-07-29,2026-08-16,14,1,95,95,早餐 07-09,朋友介紹,外送
C049,2025-10-15,2026-02-03,208,15,130,1950,午餐 11-13,店內 QR,在地長輩
C050,2025-07-29,2026-08-19,11,31,110,3410,下午 14-16,店內 QR,外送
C051,2025-10-31,2026-08-22,8,19,150,2850,午餐 11-13,外送杯貼紙,學生
C052,2026-02-10,2026-02-10,201,15,150,2250,午餐 11-13,朋友介紹,外送
C053,2026-02-16,2026-07-17,44,1,120,120,下午 14-16,外送杯貼紙,學生
C054,2025-10-30,2026-08-25,5,2,95,190,早餐 07-09,外送杯貼紙,學生
C055,2025-11-12,2026-08-14,16,2,150,300,下午 14-16,朋友介紹,學生
C056,2025-12-05,2026-08-11,19,33,110,3630,下午 14-16,外送杯貼紙,家庭
C057,2025-11-15,2026-01-14,228,9,150,1350,下午 14-16,店內 QR,家庭
C058,2025-07-24,2026-08-26,4,1,95,95,午餐 11-13,店內 QR,上班族
C059,2026-03-06,2026-08-17,13,25,85,2125,午餐 11-13,朋友介紹,外送
C060,2025-12-23,2026-07-17,44,1,95,95,下午 14-16,店內 QR,上班族
C061,2026-02-08,2026-08-12,18,3,110,330,早餐 07-09,店內 QR,在地長輩
C062,2026-03-29,2026-07-26,35,3,110,330,下午 14-16,朋友介紹,上班族
C063,2026-05-11,2026-07-28,33,2,85,170,下午 14-16,店內 QR,上班族
C064,2026-02-19,2026-08-12,18,36,85,3060,早餐 07-09,店內 QR,外送
C065,2026-06-29,2026-08-18,12,30,110,3300,下午 14-16,店內 QR,外送
C066,2025-11-08,2026-08-16,14,19,120,2280,午餐 11-13,店內 QR,外送
C067,2025-08-04,2026-03-17,166,24,150,3600,下午 14-16,外送杯貼紙,上班族
C068,2026-03-12,2026-08-24,6,18,85,1530,午餐 11-13,店內 QR,學生
C069,2025-09-24,2026-08-27,3,1,105,105,午餐 11-13,朋友介紹,家庭
C070,2025-07-28,2026-06-19,72,23,85,1955,早餐 07-09,店內 QR,上班族
C071,2026-07-12,2026-07-31,30,1,110,110,下午 14-16,外送杯貼紙,外送
C072,2025-07-28,2026-08-16,14,25,85,2125,早餐 07-09,店內 QR,上班族
C073,2026-06-22,2026-08-18,12,9,120,1080,下午 14-16,朋友介紹,在地長輩
C074,2026-05-21,2026-07-17,44,1,85,85,早餐 07-09,店內 QR,上班族
C075,2025-08-22,2026-08-18,12,20,105,2100,下午 14-16,外送杯貼紙,學生
C076,2025-12-06,2026-08-06,24,1,95,95,早餐 07-09,店內 QR,學生
C077,2026-03-07,2026-07-22,39,3,85,255,早餐 07-09,朋友介紹,上班族
C078,2026-07-16,2026-08-13,17,20,110,2200,早餐 07-09,店內 QR,學生
C079,2025-08-08,2026-08-18,12,2,105,210,午餐 11-13,朋友介紹,外送
C080,2025-07-19,2026-08-13,17,40,105,4200,早餐 07-09,店內 QR,家庭
C081,2025-10-09,2026-08-11,19,3,95,285,午餐 11-13,店內 QR,外送
C082,2025-08-14,2025-12-13,260,6,85,510,下午 14-16,店內 QR,上班族
C083,2025-07-16,2026-08-23,7,39,130,5070,午餐 11-13,店內 QR,在地長輩
C084,2026-04-10,2026-07-31,30,3,120,360,午餐 11-13,外送杯貼紙,家庭
C085,2026-05-31,2026-05-31,91,11,120,1320,下午 14-16,外送杯貼紙,學生
C086,2025-07-24,2026-07-16,45,3,120,360,下午 14-16,朋友介紹,家庭
C087,2026-06-22,2026-08-06,24,1,110,110,下午 14-16,外送杯貼紙,家庭
C088,2025-11-13,2026-08-17,13,15,85,1275,早餐 07-09,朋友介紹,家庭
C089,2026-04-13,2026-08-10,20,34,120,4080,午餐 11-13,朋友介紹,在地長輩
C090,2026-07-12,2026-08-20,10,13,85,1105,下午 14-16,朋友介紹,家庭
C091,2025-09-10,2026-05-03,119,15,105,1575,早餐 07-09,店內 QR,家庭
C092,2026-03-24,2026-08-25,5,16,95,1520,下午 14-16,店內 QR,在地長輩
C093,2026-01-03,2026-07-31,30,1,110,110,下午 14-16,外送杯貼紙,學生
C094,2025-11-03,2026-07-27,34,3,95,285,下午 14-16,外送杯貼紙,家庭
C095,2025-07-08,2026-04-24,128,9,130,1170,下午 14-16,店內 QR,學生
C096,2026-01-28,2026-08-16,14,2,130,260,早餐 07-09,店內 QR,外送
C097,2026-03-21,2026-03-21,162,22,120,2640,下午 14-16,朋友介紹,家庭
C098,2026-07-20,2026-08-16,14,10,95,950,早餐 07-09,店內 QR,學生
C099,2026-07-14,2026-07-19,42,1,105,105,早餐 07-09,店內 QR,學生
C100,2026-05-18,2026-07-27,34,1,110,110,午餐 11-13,朋友介紹,在地長輩
C101,2026-07-28,2026-08-26,4,3,95,285,下午 14-16,店內 QR,上班族
C102,2026-01-10,2026-08-26,4,2,120,240,下午 14-16,店內 QR,家庭
C103,2026-05-28,2026-08-28,2,2,110,220,早餐 07-09,朋友介紹,學生
C104,2025-12-21,2026-08-28,2,20,95,1900,早餐 07-09,外送杯貼紙,在地長輩
C105,2026-03-04,2026-03-04,179,7,85,595,下午 14-16,店內 QR,家庭
C106,2026-08-02,2026-08-02,28,5,85,425,下午 14-16,外送杯貼紙,家庭
C107,2026-04-18,2026-07-17,44,3,110,330,午餐 11-13,店內 QR,外送
C108,2026-06-30,2026-08-01,29,3,130,390,早餐 07-09,朋友介紹,上班族
C109,2025-08-15,2026-08-11,19,28,130,3640,午餐 11-13,外送杯貼紙,學生
C110,2026-04-22,2026-08-25,5,9,150,1350,下午 14-16,店內 QR,外送
C111,2025-07-27,2026-08-27,3,23,120,2760,午餐 11-13,外送杯貼紙,家庭
C112,2026-05-10,2026-05-10,112,16,95,1520,下午 14-16,店內 QR,上班族
C113,2025-10-16,2026-08-24,6,24,95,2280,早餐 07-09,店內 QR,上班族
C114,2025-08-05,2026-08-13,17,38,110,4180,下午 14-16,外送杯貼紙,在地長輩
C115,2026-02-19,2026-08-25,5,2,95,190,早餐 07-09,外送杯貼紙,學生
C116,2026-08-11,2026-08-22,8,35,110,3850,午餐 11-13,朋友介紹,學生
C117,2025-09-30,2026-01-28,214,19,95,1805,午餐 11-13,店內 QR,外送
C118,2025-11-26,2026-08-29,1,11,105,1155,早餐 07-09,店內 QR,外送
C119,2026-05-08,2026-08-21,9,2,130,260,午餐 11-13,店內 QR,學生
C120,2026-01-27,2026-05-13,109,18,95,1710,下午 14-16,外送杯貼紙,學生
C121,2026-06-10,2026-08-04,26,3,110,330,早餐 07-09,店內 QR,外送
C122,2025-07-13,2026-08-19,11,10,130,1300,午餐 11-13,店內 QR,家庭
C123,2026-06-18,2026-08-10,20,2,105,210,午餐 11-13,外送杯貼紙,上班族
C124,2026-04-09,2026-08-25,5,2,120,240,早餐 07-09,店內 QR,外送
C125,2026-06-05,2026-08-11,19,28,110,3080,早餐 07-09,店內 QR,上班族
C126,2026-03-25,2026-08-12,18,3,130,390,下午 14-16,外送杯貼紙,在地長輩
C127,2026-08-18,2026-08-18,12,12,150,1800,早餐 07-09,店內 QR,學生
C128,2026-05-11,2026-08-13,17,23,110,2530,下午 14-16,外送杯貼紙,上班族
C129,2026-03-15,2026-08-23,7,32,95,3040,午餐 11-13,外送杯貼紙,家庭
C130,2026-02-08,2026-08-12,18,21,130,2730,早餐 07-09,朋友介紹,學生
C131,2026-01-13,2026-08-05,25,2,95,190,午餐 11-13,店內 QR,在地長輩
C132,2025-09-21,2026-08-22,8,2,150,300,早餐 07-09,店內 QR,在地長輩
C133,2025-11-04,2026-08-27,3,11,85,935,下午 14-16,外送杯貼紙,外送
C134,2026-04-19,2026-08-24,6,1,110,110,午餐 11-13,外送杯貼紙,外送
C135,2025-11-08,2026-05-09,113,6,95,570,午餐 11-13,朋友介紹,家庭
C136,2025-12-06,2026-08-22,8,29,120,3480,早餐 07-09,店內 QR,外送
C137,2025-10-04,2026-01-25,217,23,110,2530,午餐 11-13,店內 QR,學生
C138,2025-10-14,2026-08-27,3,2,95,190,午餐 11-13,外送杯貼紙,上班族
C139,2026-04-22,2026-08-28,2,2,105,210,下午 14-16,外送杯貼紙,學生
C140,2025-07-07,2026-08-20,10,15,120,1800,早餐 07-09,外送杯貼紙,外送
